Ion_rad_avg,BP_avg,MP_avg,Density_avg,At_wt_avg,Cov_rad_avg,Ion_Energy_avg,Elec_Aff_avg,At_vol_avg,Thermal_expn_avg,Sp_heat_cap_avg,Therm_cond_avg,Elec_cond_avg,Heat_fusion_avg,Heat_vap_avg,Electronegativity_avg,At_num_avg,Period_avg,Group_avg,Ox_state_avg,Ion_rad_diff,BP_diff,MP_diff,Density_diff,At_wt_diff,Cov_rad_diff,Ion_Energy_diff,Elec_Aff_diff,At_vol_diff,Thermal_expn_diff,Sp_heat_cap_diff,Therm_cond_diff,Elec_cond_diff,Heat_fusion_diff,Heat_vap_diff,Electronegativity_diff,At_num_diff,Period_diff,Group_diff,Ox_state_diff,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0.56,4009.5,2053.75,7.77,84.275,1.26,723.5,108.0,11.5,5.25,0.285,98.95,8.65,33.9,462.35,2.085,37.0,4.5,10.0,5.0,0.03,902.5,842.25,2.45,11.665,0.04,38.6,12.0,2.1,0.45,0.035,39.05,8.65,2.1,128.05,0.075,5.0,0.5,4.0,1.0,True,False,False,False,False,False,False,False,False,False
0.865,1656.0,1162.54,8.14,91.395,1.27,839.0,101.35,11.7,17.15,0.28,239.5,33.35,19.5,141.515,2.045,40.0,4.5,13.0,2.0,0.285,780.0,72.54,2.36,16.475,0.07,108.0,24.35,1.4,1.75,0.05,189.5,29.55,8.2,109.115,0.115,7.0,0.5,2.0,1.0,True,False,False,False,False,False,False,False,False,False
1.29,1638.425,1197.975,5.155,65.95,1.16,896.35,194.3,16.415,2.45,0.34,46.91,3.95,12.645,177.11,2.31,29.5,4.0,11.5,2.0,0.67,1306.575,932.025,2.035,13.95,0.02,243.55,130.3,9.185,2.45,0.11,46.79,3.95,7.355,162.39,0.65,5.5,0.0,5.5,1.0,True,False,False,False,False,False,False,False,False,False
0.645,2735.0,1684.0,5.44,95.295,1.35,679.2,91.8,15.55,6.1,0.435,79.35,0.55,30.63,294.5,1.56,40.0,4.5,8.5,3.5,0.385,105.0,1.0,3.11,67.205,0.24,107.2,41.8,3.45,3.5,0.265,68.65,0.55,19.57,64.5,0.34,26.0,1.5,5.5,0.5,True,False,False,False,False,False,False,False,False,False
0.905,3440.0,1479.5,7.525,98.92,1.205,648.05,60.0,13.715,9.1,0.305,56.75,9.9,13.745,386.435,1.49,42.0,5.0,6.0,2.5,0.255,297.0,288.5,1.375,39.99,0.045,109.95,10.0,7.015,3.9,0.115,43.25,8.0,2.445,13.135,0.39,15.0,1.0,3.0,0.5,True,False,False,False,False,False,False,False,False,False
1.17,2388.67,1391.575,11.925,103.115,1.01,1141.15,71.5,12.92,123.2,0.585,73.515,10.65,13.36,283.185,2.62,42.0,4.0,12.0,3.5,0.54,2311.33,1328.425,10.675,89.105,0.26,261.15,78.5,4.38,116.8,0.455,73.485,10.65,13.0,280.395,0.42,35.0,2.0,3.0,0.5,True,False,False,False,False,False,False,False,False,False
1.02,3451.5,1895.9,10.93,112.655,1.655,589.4,31.18,27.155,44.1,0.45,75.2,11.1,17.69,392.0,1.36,47.0,5.0,4.0,4.0,0.49,2418.5,1559.1,10.07,73.555,0.375,170.6,17.18,18.305,37.9,0.31,27.3,5.3,15.36,315.1,0.54,28.0,1.0,3.0,3.0,True,False,False,False,False,False,False,False,False,False
0.865,4501.5,2304.0,11.935,162.975,1.485,648.0,55.0,16.645,3.15,0.165,37.7,5.05,21.85,513.5,1.315,67.0,6.0,4.0,4.0,0.225,1228.5,989.0,4.715,17.975,0.145,113.0,5.0,5.745,3.15,0.025,19.8,3.05,14.15,223.5,0.185,6.0,0.0,1.0,1.0,True,False,False,False,False,False,False,False,False,False
1.005,1825.095,994.9,2.985,31.94,1.025,985.95,80.55,12.32,394.3,0.72,11.085,1.3,9.41,214.305,2.49,15.0,3.0,10.0,3.0,0.395,1734.905,940.1,1.555,15.94,0.295,327.95,60.55,1.68,385.7,0.2,10.815,1.3,9.19,210.895,0.95,7.0,1.0,6.0,1.0,True,False,False,False,False,False,False,False,False,False
0.92,3219.5,1620.0,4.03,65.65,1.595,624.9,-53.0,20.0,14.0,0.465,111.35,16.8,14.765,372.585,1.165,30.0,4.5,3.0,3.0,0.08,1462.5,508.0,2.48,25.57,0.145,35.1,103.0,5.9,8.3,0.185,88.65,14.5,6.235,217.915,0.165,10.0,0.5,1.0,1.0,True,False,False,False,False,False,False,False,False,False
